link;price;cls;active
https://kaspi.kz/shop/p/almacom-ach-07g-2017-zolotistyi-mednaja-installjatsija-4201023/?c=710000000#!/item;142500;0;1
https://kaspi.kz/shop/p/almacom-acp-24lp-korichnevyi-montazhnyi-komplekt-101516134/?c=710000000#!/item;563000;0;1
https://kaspi.kz/shop/p/almacom-acc-24hm-belyi-4200630/?c=710000000#!/item;479000;0;1
https://kaspi.kz/shop/p/dwt-bh14-32-bmc-5-dzh-sds-plus-12400167/?c=710000000#!/item;38000;0;1
https://kaspi.kz/shop/p/danke-7062-white-90-seryi-108757987/?c=710000000#!/item;51000;0;1
https://kaspi.kz/shop/p/almacom-lux-chanel-ach-24lc-belyi-montazhnyi-komplekt-4200692/?c=710000000#!/item;392000;0;1
https://kaspi.kz/shop/p/kompressor-bezmasljanyi-teh-tas-100-l-101241924/?c=710000000#!/item;358000;0;1
https://kaspi.kz/shop/p/teh-rst-1-4-1216-4-v-1-107963399/?c=710000000#!/item;149000;0;1
https://kaspi.kz/shop/p/almacom-regular-ach-09ar-belyi-101515999/?c=710000000#!/item;154000;0;1
https://kaspi.kz/shop/p/dwt-hb03-110-b-48600024/?c=710000000#!/item;33000;0;1